release_year,runtime,imdb_votes,age_certification_NC-17,age_certification_PG,age_certification_PG-13,age_certification_R,age_certification_TV-14,age_certification_TV-G,age_certification_TV-MA,age_certification_TV-PG,age_certification_TV-Y,age_certification_TV-Y7
2020,89,1706.0,False,True,False,False,False,False,False,False,False,False
2016,82,123667.0,False,False,False,True,False,False,False,False,False,False
2018,55,1687.0,False,False,False,False,False,False,True,False,False,False
2020,72,948.0,False,False,False,False,False,False,False,False,False,False
2008,123,247039.0,False,False,True,False,False,False,False,False,False,False
2018,159,1071.0,False,False,False,False,False,False,False,False,False,False
2021,90,1611.0,False,False,False,False,False,False,False,False,False,False
2021,25,1111.0,False,False,False,False,False,False,False,True,False,False
1995,24,64727.0,False,False,False,False,True,False,False,False,False,False
2013,75,3284.0,False,False,False,False,False,False,False,False,False,False
2019,142,6550.0,False,False,False,False,False,False,False,False,False,False
2017,90,2445.0,False,False,False,False,False,False,False,False,False,False
2020,99,3912.0,False,False,False,False,False,False,False,False,False,False
2020,100,1522.0,False,False,False,False,False,False,False,False,False,False
2021,0,16.0,False,False,False,False,False,False,False,False,False,False
2017,82,251.0,False,False,False,False,False,False,False,False,False,False
2021,66,97.0,False,False,False,False,False,False,False,False,False,False
2015,84,12441.0,False,False,False,False,False,False,False,False,False,False
2020,44,1646.0,False,False,False,False,False,False,True,False,False,False
2021,43,1371.0,False,False,False,False,False,False,False,True,False,False
2020,125,4699.0,False,False,False,False,False,False,False,False,False,False
2018,120,594.0,False,False,False,False,False,False,False,False,False,False
2020,51,716.0,False,False,False,False,True,False,False,False,False,False
2021,90,2303.0,False,False,True,False,False,False,False,False,False,False
2004,106,175210.0,False,False,False,True,False,False,False,False,False,False
2007,73,344.0,False,False,False,False,False,False,False,False,False,False
2021,121,96418.0,False,False,True,False,False,False,False,False,False,False
2020,97,2609.0,False,False,False,False,False,False,False,False,False,False
2021,21,4776.0,False,False,False,False,False,False,True,False,False,False
2021,121,44006.0,False,False,False,False,False,False,False,False,False,False
2017,59,2359.0,False,False,False,False,False,False,False,True,False,False
2018,17,292.0,False,False,False,False,False,False,False,False,True,False
2016,74,1647.0,False,False,False,False,False,False,False,False,False,False
2020,59,1356.0,False,False,False,False,False,False,False,False,False,False
2016,92,113.0,False,False,False,False,False,False,False,False,False,False
2019,87,3013.0,False,False,False,False,False,False,False,False,False,False
2018,48,73062.0,False,False,False,False,False,False,True,False,False,False
2017,41,1386.0,False,False,False,False,True,False,False,False,False,False
